"SystemName","Processor","PhysicalCores","LogicalCores","OSName","OSVersion","TotalPhysicalMemoryGB","TotalDiskSizeGB","WirelessAdapterSpeedGB","EthernetAdapterSpeedGB","Username","InventoryTime"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-1700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","16","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","12","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-2700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","8","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-3600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","4","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-4700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","10","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-5600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","6","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-6600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","8","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","18","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-1700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-2600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","20","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-3700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-5600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","8","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-4700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","8","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","6","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-6700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","6","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-1700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-3600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-5700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
"DESKTOP-5OA9D70","Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz","4","8","Microsoft Windows 10 Education","10.0.18363","32","929.35","1","no ethernet adapter found","Admin","2020/07/09 17:02:17"
"DESKTOP001","Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz","6","6","Microsoft Windows 10 Éducation","10.0.18363","24","4428,85","no wireless adapter found","1","karthike","2020/07/09 17:50:32"
